text,label,created_at
pothole making road unsafe at night,Pothole,2025-02-22
neighbors playing loud TV all day please fix!!! (near market),Noise,2025-04-30
Factory noise beyond permissible limit needs attention,Noise,2025-08-03
streetlight bulb blown for weeks near my house (near market),Streetlight,2025-03-23
no zebra crossing near school since yesterday,Traffic,2025-02-22
Multiple potholes near intersection in my locality,Pothole,2025-01-23
bus stop blocked by vendors causing problems (near market),Traffic,2025-05-31
unhygienic conditions in public park since yesterday (near market),Sanitation,2025-04-27
burst water pipe flooding street please fix,Water,2025-08-21
"Please help, electric pole leaning dangerously",Electricity,2025-02-06
"Please help, sewer manhole cover missing",Sanitation,2025-05-19
sewage smell near apartment entrance,Sanitation,2025-04-28
rotting food smell near alley since yesterday,Garbage,2025-06-11
pole light damaged and sparking near my house,Streetlight,2025-05-16
potholes on main street slowing traffic,Pothole,2025-08-08
flies and pests due to poor sanitation in my locality,Sanitation,2025-09-10
multiple potholes near intersection,Pothole,2025-08-05
silted drain not cleaned for months please fix,Sanitation,2025-05-09
open drain overflowing and stinking,Sanitation,2025-05-17
transformer making noise and spark please fix (near market),Electricity,2025-05-15
"Please help, factory noise beyond permissible limit",Noise,2025-09-17
sewer manhole cover missing,Sanitation,2025-01-01
silted drain not cleaned for months since yesterday,Sanitation,2025-06-07
no water supply since morning (near market),Water,2025-09-06
bin lid broken and trash scattered causing problems,Garbage,2025-03-26
contaminated water smells bad causing problems,Water,2025-04-13
sewage mixing with water supply in my locality,Water,2025-09-22
overflowing traffic due to broken divider please fix (near market),Traffic,2025-04-28
Rag pickers scattering waste on street (near market),Sanitation,2025-02-04
Rotting food smell near alley since yesterday,Garbage,2025-04-20
"Please help, neighbors playing loud TV all day",Noise,2025-05-05
construction noise late at night in my locality,Noise,2025-08-05
unauthorized parking blocking road near my house,Traffic,2025-02-20
community garbage heap causing smell in my locality (near market),Garbage,2025-04-09
streetlight timer is not functioning causing problems,Streetlight,2025-05-08
garbage truck missed our area near my house (near market),Garbage,2025-01-08
multiple potholes near intersection,Pothole,2025-07-25
"Please help, community garbage heap causing smell",Garbage,2025-08-21
water supply irregular in our block in my locality,Water,2025-09-07
pothole causing two-wheelers to fall,Pothole,2025-02-01
Power cut since morning,Electricity,2025-03-22
Community garbage heap causing smell causing problems,Garbage,2025-05-01
congestion due to missing lane markings please fix,Traffic,2025-01-21
unhygienic conditions in public park please fix,Sanitation,2025-05-14
many streetlights are out since yesterday,Streetlight,2025-06-03
bus stop blocked by vendors since yesterday (near market),Traffic,2025-02-21
garbage truck missed our area causing problems,Garbage,2025-02-05
low water pressure in taps since yesterday,Water,2025-06-04
Untreated wastewater discharge in street causing problems,Sanitation,2025-02-23
potholes on main road slowing traffic urgent,Pothole,2025-05-20
water supply irregular in our block needs attention,Water,2025-05-16
factory noise beyond permissible limit near my house (near market),Noise,2025-08-05
Water cut for two days,Water,2025-05-15
streetlight not working in colony near my house (near market),Streetlight,2025-02-08
Pothole causing two-wheelers to fall causing problems,Pothole,2025-08-09
asphalt broken with potholes,Pothole,2025-01-21
meter box damaged causing outage,Electricity,2025-07-28
"Please help, unhygienic conditions in public park",Sanitation,2025-04-01
unauthorized parking blocking road,Traffic,2025-07-30
low water pressure in taps urgent,Water,2025-01-20
construction noise late at night,Noise,2025-04-27
streetlight bulb blown for weeks,Streetlight,2025-02-05
water cut for two days since yesterday,Water,2025-06-19
